File Name,Content,Sentiment_GPT,Sentiment_Vader,Manually
@amandagaskins78_video_7209843718885608747.txt," And you want to be the archivist of the United States. You lied to us under oath. You lied to us in your QFRs. You just lied to me a second ago under oath. And now you're sitting your stonewalling, not answering questions about public posts that you've made. Are you a lawyer, Miss Shogun? No, Senator. Are you familiar with the shirtless case at the United States Supreme Court? No, Senator, I'm not. Well, in that case, the Supreme Court held that in fact, it constitutes viewpoint discrimination for a government entity to remove religious flags from its property when it's opened up the property that other people to put flags on. That's exactly the question that you were addressing in your public posts on Twitter. You're giving legal advice, which you're not qualified to give directly contrary to the United States Supreme Court. I just wonder, does this have to do with your view that you wrote about that the religious right is connected to the rise of anti-intellectualism and American politics? Is that what you said what you said about religious flags? The religious right is a force for anti-intellectualism. Explain that to me. No, Senator. Do you stand by your comment that the religious right part of the rise of anti-intellectualism and American politics? Senator, that article was written. It was about how Republican presidents use common sense terminology to effectively communicate with Americans. Yeah. In which you said that the religious right, the rise of the religious right is part of the rise of anti-intellectualism and American politics. I just point out that's the article in which you say anti-intellectualism. The title is, anti-intellectualism and the modern presidency, Republican populism. Very nonpartisan. Dr. Shogan, I'm going to ask you again, will you give to this committee your public posts on Twitter? Will you make them available? I social media is in my personal capacity. Mr. Chairman, I have to tell you, this is the most extraordinary thing I have seen in my brief time in the Senate. I have never seen a witness blatantly lie under oath like Dr. Shogan has just under this committee, Stonewall, this committee, and just repeatedly refused to answer my questions about her own posts that are in public. For these reasons, I will oppose your nomination and I strongly, strongly urge this committee to take action on this and force this witness to own up to the fact that she is misleading us right now before our eyes, Mr. Chairman.",negative,positive,negative
@angryvoters_video_7092123027076304170.txt," On Wednesday, there was a hearing before the Oversight Reform Committee regarding price gouging and overcharging by the company called TransDiam, which is a military contractor that produces and supplies aerospace components and systems for commercial and military aircraft. As I watched this hearing, I noted the difference in questioning by certain committee members, so I decided to do a little bit of digging, and what I found was rather interesting, especially as it relates to citizens united and political donations by corporations. In 2020, TransDiam donated $226,153 to Republican campaigns, but only donated $39,938 to Democratic campaigns. Their highest individual candidate campaign donations were $2, Martha McSally, $30,400, Tom Tillis, $23,500, David Perdue, $21,800, Johnny Onesd, $19,320, Kelly Lafler, $19,600, $1,000, all of these members of Congress, will or are current members of the Military Affairs Committee with the exception of Kelly Lafler. You remember Kelly Lafler, right? The Republican Georgia Senator who was suspected of insider trading after selling off stocks of companies that would have been susceptible to the COVID pandemic after she attended a briefing about COVID at the beginning of the pandemic. Well, wouldn't you know it? Mrs. Lafler and her husband own stock in TransDiam at the same time that she was a sitting member of Congress. There needs to be serious campaign reforms for both donations by corporations and stock clothing by members of Congress on both sides of the political fence. Members of Congress no longer work for the people. They are bat by and work for corporations. As far as TransDiam is concerned, the federal government has requested that the company refund a little over $20 million. This is the second time in three years that they've been asked to refund money to the federal government for overcharging. In 2019, they refunded $16 million. PS, Representative Katie Porter from California, knocked her questioning session out of the park. Way to go, Katie.",negative,negative,negative
@anothermarco_video_7049840313443077381.txt," This is the creepiest building in New York City. It is a windowless 80s stories high skyscraper made of concrete. Nobody knows what's inside, but rumors say it's the National Security Agency.",negative,positive,neutral
@anti_narrative_video_7212697745419717894.txt, We happen to now know that DARPA was asked by the Wuhan Institute of Virology for money to take a coronavirus and insert a fear and cleavage site into that coronavirus to make it more transmissible and more infectious for humans. We know that that happened. Why do we know? Not because any Democrat chairman have helped us. A whistleblower from somewhere in the government released that grant. It's a grant proposal. Why in the world we can't see grant proposals? Why we can't see unredacted stuff from HHS? It's not even classified stuff. They're refusing to give us unclassified stuff. So we put forth these amendments,negative,negative,negative
@apnews_video_7330339313659530538.txt," Social media companies as they are currently designed and operate are dangerous products. They're destroying lives, threatening democracy itself. These companies must be reigned in or the worst is yet to come. Mr. Zuckerberg, you and the companies before us, I know you don't mean it to be so, but you have blood on your hands. You have a product. You have a product. This killing people. When we had cigarettes killing people we did some about it maybe not enough. You're going to talk about guns. We have the ATF. Nothing here. There's not a damn thing anybody can do about it. You can't be sued.",negative,negative,negative
@apushladyboss_video_7229461413528456490.txt," Hi, I'm going to try to answer your question in a very historical sense and not a political sense, but obviously there is some controversy when we're talking modern political parties. So my best resource for you is going to be to check out the DBQ from 2015 at a disease centrally this question. You can totally just check out the DBQ on its own or you can go to the student samples because that includes the rubrics. You're going to get a whole bunch of information there. But generally, what we see happening is that by 1980, Democrats and liberals have had control of governments since 1932. Now, even though there were some Republican presidents in this time period like Nixon and Eisenhower during their Presidencies, oftentimes Democrats still controlled Congress. So Republicans just didn't have a complete control over government. So by 1980, conservatives were like, we need a new block of voters. We need to bring in a group of loyal voters to the Republican Party who will constantly vote for us, which will bring us power. So they start looking at some of these social movements that are happening at the time. So there is basically almost like a third grade awakening. It's not called that. But there's a big evangelical movement that's happening in response to backlash to the counterculture that's happening in the 70s. So they are responding to the drug culture, the hippie culture, the changes in gender roles, the Roe v. Wade court case. And so they're trying to, a lot of evangelicals are emphasizing more traditional values. And they're very apprehensive about social change. So Republicans see this big group of people that care about that and they decide to adopt some of those ideas into the conservative party platform to bring them as voters. And so we see a group called the new right, the religious right, the moral majority, really being brought into the conservative party. And that is going to lead in a large part to the growth of the conservative movement overall. Additionally, there's some economic things that are happening in the 70s. There's an economic crisis and an economic recession, energy crisis, stagflation, inflation. A lot of us going to be blamed on President Carter, who was a Democrat. So that will also contribute to the rise of the conservative party. Again, check out DBQ from 2015. Hope that helps you.",neutral,positive,neutral
@artphotoforyou_video_6946703588928359685.txt," All streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all streets, all all streets, all streets, all streets, all streets, all streets, all streets, all streets, hello!",neutral,neutral,negative
@aubrey_not_audrey_video_7130231137410075947.txt," This week doesn't even feel real anymore. Giuliani is over here telling Fulton County Georgia that he can't get there to testify because he can't fly. Judge McBernie and Fulton County Georgia said we don't give a shit. He needs to get there on a train, on a bus, or Uber, or whatever it was. We're gonna need somebody Uber to reach out to Giuliani for a brand deal.",negative,positive,neutral
@aunthenny4thewin_video_7130338938480479534.txt," Yeah, if you have watched any kind of news, media this week, you know that it has been a big lead week for Democrats, a perfect week, the most unimaginable week that we have seen in years. It has been a great week, but of all the stories that I've heard this week, the best one is the story of one Rudolph Giuliani claiming that he cannot testify before the January 6 Committee because he is unable to fly due to health problems. Tell me the January 6 Committee did not send that man a bus ticket and was like, here you go, now you can come. Picture it, picture it right now, close your eyes and picture Rudolph Giuliani walking onto a bus, handing them his bus ticket and sitting there for hours because he can't fly and try to get out of testifying. It's a good week. Yeah, it's a good week, yeah.",positive,positive,positive
@aureliafierros_video_7359051750805884202.txt," 137 years of our nation's history. I don't know that there has been a more shameful day in the United States Senate than today. Now a single Democrat Senator chose to come to this floor and listen to one word of evidence. When it comes to the Constitution, the Democrats concluded that Joe Biden and Alejandro Mayorkas defying federal law, ignoring the text of the statute, deliberately releasing criminal illegal aliens over and over and over again. That's just hunky-dory. You can't impeach him for that. Every Democrat just voted. It is no longer impeachable in Democrat wonderland. Do your job. Is there not one Senator on that side of the aisle who cares enough to honor the Constitution? The Constitution people who have died the last three and a half years and they don't give a damn about the people that are going to die next week. When you go down to the border and you look at the children who have been brutalized, you see the agony of children trapped in sex trafficking. The Democrats just said they don't care. They won't hear the evidence. They don't care that it's deliberate and they don't care that it will happen next week. That it will happen tomorrow. Tomorrow there will be children brutalized. Those are the Democrats open border policies and not one of them cares.",negative,negative,negative
@axiomalpha_video_7174460177167453486.txt," This is the Trump Organization, a collection of around 500 business entities owned or controlled by Donald Trump, many of which are holding companies and many of which use the Trump organization as their fictitious trade name. Quote, the Trump Organization is also a trademark owned by DTTM Operations LLC, which is one of those 500-ish business entities. The organization was originally founded in 1927 as a residential real estate development company in Queens, by Donald Trump's paternal grandmother Elizabeth Christ Trump and his father Fred Trump under the name E Trump and Son. Donald Trump officially joined the company in 1968 and by the 80s had pivoted the company from residential real estate into hotels, casinos, and other ventures. The company has been controversial for decades, from a 1973 lawsuit against the company for violating the Fair Housing Act to a 1989 fine for missing basic financial records and violating generally accepted accounting principles, to hundreds of accusations of not paying contractors for services rendered, to most recently having two subsidiaries convicted of criminal tax fraud.",negative,negative,negative
@ayokaio_video_6892900196032744709.txt, Si no me perdonas es mejor morir Y hay un mía un enemigo y un like,negative,positive,positive
@azi.paybarah_video_7186422327188458794.txt, got breaking news tonight Brazilian president plans presser will announce some are saying may announce military audit of controversial election may arrest criminal judges okay he did not can see the respects the public the constitution will fall if they did not can see that we were watching the brazil election they took by point one million votes through the machines i'm friends with president son Eduardo barsanero he should scare everybody in this country everyone to get rid of the machines we have to and then the other thing and this is on my social media have to check out is there videos from south palo yesterday sunday afternoon people in the street taking video of the boxes of the voting machines being moved out in front of the Brazilian law says 60 days from when the election is held they have to stay in place for well just like the election was stuck yeah the election was stolen,negative,negative,negative
@azi.paybarah_video_7189334268118601002.txt, and we've captured the NRC thieves attention and put the rays on the map.,positive,negative,positive
@banditgio171_video_7205715076769139974.txt, Do you believe that the archivist has the power to certify amendments to the Constitution when there is a dispute as to how many states have ratified the amendment? Thank you Mr. Ranking member. As I understand it the function before the archivist of the United States is what has been described as ministerial in function so the archivist is publishes an amendment when it is part of the Constitution not the decider. Very good and I think that's exactly right in some ways would probably be similar to sort of the certification of an election you know when the vice president comes in it's thought to be ministerial not that the vice president had the power to change or alter the election. Will you allow security at the archives to force people to cover clothing that has political speech on it? Thank you Mr. Ranking member for that question absolutely not. Will you get to the bottom of how it happened to make sure that we don't have people I don't know if this was some a rogue person out there doing this or if the previous those in charge were encouraging this but we promised to get to the bottom of it. Absolutely Mr. Ranking member. I think one of the things American people hate most about government is when it appears as if justice or the adjudication of justice is partial you know when you know Lady Liberty's not blind Lady Justice is not blind that there are different standards for people depending on their party and at least from where I said a lot of Republicans felt like there was a different standard you know and it'd be really in the way the FBI treated Donald Trump and Joe Biden. The bigger problem though I think is that everything is classified we just we classify everything the menu at the White House is supposedly classified I mean we've got problems with too much classification but it also makes oversight difficult so for example a million Americans died from COVID somewhere between 12 15 maybe 18 million people died worldwide from COVID and I can't get records from the NIH because they classify more they send them to the NIH I think it was HHS and is a 250 page document and redacted the whole thing. This is just sort of an insult and you know how we get to it you don't have complete control of this but I think you have some control over the older records how do you understand your role on the older records with being part of declassifying older records. Thank you for that question yes as I understand it the agency that classifies information has the responsibility for and the choice to declassify that information but there is the National Declassification Center at the National Archives located in Maryland and if I am confirmed I plan to of course visit the National Declassification Center and also prioritize as you said Mr. Making member the older records they're waiting for declassification figuring out how we can be most efficient in doing this and how we can strengthen relationships with those classifying agencies those classifying entities so that we are able to move some of these older documents through the process I agree with that and really just for the record here on the presidential you know controversy what we're stuck with now is you know millions of dollars will be spent on these investigations and there should be an investigation of neither Biden nor Trump nor Pence on this they should be told you know what these are rules and we should try to work with people that were in office I think we're not going to find that the secrets to making you know a nuclear weapon we're at someone's house I think we're going to find that a lot of stuff's classified that doesn't need to be classified but it began with sort of a witch hunt for Trump everybody loved it they love you know the media cackled and rubbed their hands together and it went on for weeks and weeks they had Donald Trump they were going to get him they're going to put him in jail like all the rest of the governments you know they're controlled by one party around the country they just had glee until Biden was found to have records in much less secure place next to his you know Corvette and his garage but I think we've overreacted to both and I've talked with a chairman and others on the other side that we need to do something about this this overclassification problem and what little part you can be of it and I realize and don't want you to create ball but what you can do on the older records I think we would appreciate trying to get less and I look forward to working with the chairman I'm trying to to change this because we can't have true oversight of government if HHS and NIH is telling us you know it's none of your business I mean we really have to get a hold of what's going on and to be the covid thing isn't about isn't about Biden at all a lot of this happened in the previous administration so really it shouldn't be partisan at all we should all want to find these records I'm going to reserve my time for later if that's okay that's fine,neutral,positive,negative
@banditgio171_video_7208886204169866501.txt," That's not my question. My question is, are there any TikTok employees or white dance members, employees, members of the Chinese Communist Party? Yes or no? Senator, I'm saying nobody could sit up here and give you that. So you don't know? You're saying you don't know. You do know your leadership isn't, but you don't know about your employees. Is that your testimony? I know that everyone who makes a strategic decision at this platform is not a member of the CCP. A strategic decision. Okay. It's interesting. It's interesting to me that you're quite confident that anyone who can make a strategic decision. How many people is that? It's a leadership team. So, and again, the leadership team is based in the US and Singapore. Our CEO is based in Singapore. He's not Chinese.",neutral,positive,neutral
@bannons.war.room_video_7283186359248899371.txt," The best we know kind of to get into some of the technical issues here is that they are going to put the rule up tonight for the four spending bills. They're trying to push through this week work we should have done in June. And the people graves and these people that knew it because they didn't want to face the reality of the lies they had told in the Dead ceiling bill. This is obvious. Not dumb to think people are. Now to do this he's also going to put forward McCarthy saying he's going to put forward a CR with the border enhanced border security. His question that he's quotes I don't understand how anyone would stand in the way of blocking the border. This is how dumb as you think you are this is HR two is nothing. It's not going to do anything for two weeks. That can be implemented. We have more than enough laws some HR two is really terrific. Of course they took a verify out which is the magnitude of the jobs. They took the year for I could eat the verify because the donors don't the lobbyists of the donors don't want you verify there because the donors don't want to be cut off of hiring your legal aliens. Hello. But he's going to show the shiny toy up and make it seem like oh you guys are not serious about close the border. No we are serious and one way to get serious is go in and to gut everything that's happening with my York as in this team and maybe starting teaching my York is nine months ago or maybe. Maybe move the legislature move Congress is nothing in holy rift this has got to be in the capital move it down to. Laredo move it till Opasso move it to McCallan Texas move it to the Rio Grande Valley and stand there until the invasion stops. Stand there until no more visagos are coming across. Do something real not performative not more of your talk. The games are going to be played here in the next 24 40 hours the lies are going to be told. Oh you don't support border security did what he talked about maggot in this audience are the people on for the last three years longer than that. Back in 2000 what third 2014 when we stopped the madness and through air canter out remember that McCarthy when you had a then later when you had a moment to be speaker the first time but. I ran into so how do I say this politely personal issues. The Paul Ryan ascended to the chair because you had wait for it. Personal issues they had to be addressed. Now we're here and they're going to throw up everything and now you know Don Bacon and in the in the in the in the problem solvers that's a great group. The problem solvers all the geniuses the problem solvers they're going to give you a CR that goes to January. And then you're just see the whole thing wrapped up into one. Omnibus bill done so you got the problem solvers working with the Democrats. You've got the Senate coming in with something McCarthy's now saying it comes up it whatever way whatever angle they come for. It's all to one purpose to get past the 30th and have the apparatus continue to be financed. The purpose is we're trying to deconstruct the apparatus and the first step in deconstruct it is choke it off from money. Choke it off from the Federal Reserve just continuing on and on and on and on as you have this fiscal terrorism was what it is now. Control by the lobbyist. If this didn't work for the fat cats in the lobbyists in the donor class and the bayonets do you think this would be a thing with this be a fight now. That's what the fights about because they understand the first way to get after them is to cut this massive federal spending the out of control federal spending. And that's what they refuse to do and they refuse to tell you what the reality is. And you can see in every aspect and they have the goal in there to put 24 billion dollars. In for Ukraine now somebody found your point I think was the messenger my number because it's 60 minutes of 70 billion dollars makes it 40 billion dollars. Those are all lies you got to aggregate up everything we spend on these people. 113 billion and if it was for the benefit of the Ukrainian people maybe people are getting back of it's not it's the oligarchs over there the Ukrainian people have been thrown into the channel and she had 50,000 dead Ukrainians for what. So that you go back and fight over who controls buck moot to crossroads town of buck moot. 24 billion dollars government programs were talking massive cuts in discretionary spending I think massive cuts into defense bill. Which are going to be tough but I think necessary get economic warfare up there to the top and do not commit non kinetic means we cannot continue to fight and think about the words of the 20th century. But these cuts are going to be tough they're going to be I didn't say they weren't going to be tough and their arguments on some of these on both sides. Other than the getting the weapon weaponized out which there is no argument there but it's going to be tough it's just tough to get to this point when you really start cutting programmatically taking things out and that's some fantasy we're going to get 8% 8% is on is on non discretion is on discretionary defense or not defense and is for two weeks that's a fantasy it's another false flag. .",negative,negative,negative
@beckography_video_7321211873569819950.txt," There's only one American governor who's ever body slammed a news reporter, and that's Greg G. and Forte, the 25th governor of Montana since January 4th, 2021. He was born in San Diego and graduated from the Stevens Institute of Technology. He started his career as a businessman in the software industry, having co-founded BrightWork development, which specialized in banking software. Him and his wife later co-founded another company called BrightNow Technologies. He amassed a fortune of hundreds of millions of dollars and was once called the Godfather of Montana Tech. Because of his wealth, his financial ties have come under great scrutiny. He got into politics when he ran for governor in 2016 against incumbent Steve Bullock. Despite sharing a ballot with Donald Trump, he narrowly lost the election. But Trump appointed Montana's lone congressman as secretary of the interior. So, G. and Forte ran in the special election just six months later. The night before the election, as I mentioned, he body slammed a reporter. But he still won that election and re-election to a full term in 2018. When Governor Bullock was term-limited, G. and Forte ran again in 2021. And unlike his last three races, he easily won. G. and Forte is a reliably conservative governor and promoted his ties with Donald Trump and his past campaign. He took office in the midst of the COVID-19 pandemic and focused on helping small businesses. He scrapped restrictions on businesses and social gatherings and later banned vaccine mandates. He's enacted several gun policies, notably banning law enforcement from enacting any gun restriction set by the Biden administration and signing a constitutional carry bill into law. He signed a bill banning transgender health care for minors, even though his non-binary son urged him not to. Interestingly, he signed a bill banning sanctuary cities, even though none existed in the state. He led Montana through historic flooding in the summer of 2022 and declared a state of emergency. He signed a bill banning sanctuary cities, including millions of dollars to combat state hospital wait lists, and also cutting 23 million in state infrastructure fund. In addition, he's focused a lot on housing reform, which is something that's a particularly big issue in the state. Some saw him as a potential challenger to Democratic Senator John Tester in the 2024 election, but it appears more likely than not that he'll run for reelection to a second term.",neutral,positive,neutral
@beezay22_video_7153804748976688426.txt," This is a map of how counties voted in the 2020 presidential election. Red Republican, blue Democrat. This is a map of maternity care deserts in the US. Notice any similarities? All those red spaces where maternity care is basically unavailable. Next is a map of the current abortion ban status in the US as of August 2022. As you may be able to tell, the places most likely to force birth are also the least likely to provide maternity care. I think George Carlin said it best. They're not pro-life. They're anti-woman. Simple as it gets.",negative,positive,negative
@bellasanford1_video_7102448357234298155.txt," My fellow Americans, extended global TikTok family, top of the morning to you. Up here I have Senator Ted Cruz's direct office line to his government office. He won't be there when you call because he's at an NRA conference in Houston today with Donald Trump and yeah. So what I want you to do is I want you to call this number and I want you to tell him what a low down dirty sack of shit he is and what a murderer he is and that we will be happy to throw a big huge party for ourselves when we vote his ass out of fucking office in November. So flood this motherfucker with calls and register your name and you tell him, ha ha, don't let the fucking door hit you in the ass on your way out motherfucker. Yeah, and I just want you to know that you do not have to be polite when you are addressing these motherfuckers.",negative,negative,negative
@bellekurve_video_7312947053720603947.txt, Y'all I had to be worried because look wait. Wait watch watch watch watch coming? It's kov it cuz I Hollaaaa This man with his true conductor side baby. He beat omega if he has been a Star-Word This lawyer with Juliani lawyer I Bet you can't block it. We already know who the fuck It's all drunk poop right here. Okay stand dirty old white men They are just the grossest thing on the fucking planet you nasty disgusting alcoholic pervert you lying bitch You incompetent immacil you even got a hundred fifty million dollars. So good luck bitch Thank you for your service sir Thank you if you need some hot chocolate coffee let us know Cuz we got you cuz fuck Rudy Giuliani forever Look These nuts bitch What I can't stand this line this bitch Just look you and you find new professions because you're never getting paid number one You're never getting paid from Rudy Giuliani and number two you ought to be shamed your mothers ought to be ashamed that they gave birth to you For defending this disgusting old cool. I swear,negative,negative,positive
@belowtheheath_video_7273144173392399662.txt," Who are you going to believe? Rudolph Giuliani or Rudolph Giuliani? I'm a functioning, I'm probably functioned more effectively than 90% of the population. The same Rudolph Giuliani told a reporter while he was drinking a bloody Mary, I love Scotch. I can't help it. All of the moths. And part of it is cigars. I love to have them with cigars. I'm a part of your. Rudolph Giuliani's previous wives have a less than charitable view of him as a part of your. One of the witnesses to the January 6th Committee testified under oath that Rudolph Giuliani was drunk on election night 2020 when he told Donald Trump to publicly go out there and declare victory which Donald Trump did knowing that it was not true. What was your observation about his potential intoxication during that discussion about what the president should say when he's addressed the national election night? In the mirror was definitely intoxicated, but I do not know that his level of intoxication when he spoke with the president. And we don't know his level of intoxication when Rudolph Giuliani said this. When I went to bed on election night, he was ahead in all those states, every single one of those states. How is it they all turned around? Every single one of them turned around. How drug does your lawyer have to be before you stop following his advice? That is a question, a legal question that Donald Trump's criminal defense team will have to answer when he goes on trial on March 4th in Washington, D.C. So how drug does your lawyer have to be before your defense based on advice of counsel completely collapses? Reliance on advice of counsel can be a viable defense. Think about one of the more ordinary circumstances. My tax lawyer told me I could take this deduction and it turns out you couldn't take that deduction. It was illegal to take that deduction, but you may very well have an advice of counsel defense available to you. Rudy Giuliani is a charged co-conspirator of Donald Trump. There is no such thing as reliance on advice of co-conspirator defense.",negative,negative,negative
@bert_parker_video_7347859952360541486.txt," Public and party that made America safer, stronger. The party that put our security and American values first. A party born to expand liberty. A party of real free markets and economic growth that starts on mainstream, not rigged giveaways and special favors led by men and women of honor, encouraged, service, and sacrifice. Leaders who never taught America down, that party is dead. We know why. We know who killed it. We're conservatives, not crazies. We believe in responsibility and accountability in following the Constitution and the law, even when we don't like the results. We don't have to agree with Joe Biden on every policy issue we want. And when we don't, we'll say so. But so much is at stake in this election, and it's time to put country over party and America over Trump.",negative,positive,negative
